pageid,revid,rating,quality_score,userContrib,grammar,userID,timestamp,contribQuality
33372010,454984127,Stub,0.1,0.13,6.0,4870610.0,2011-10-11T03:52:00Z,0.01
44147535,630147312,Stub,0.1,59.57,3.0,12529706.0,2014-10-18T20:01:45Z,5.96
44147641,630148560,Stub,0.1,58.8,4.0,12529706.0,2014-10-18T20:12:08Z,5.88
1660300,62885119,Stub,0.1,0.05,6.0,1577873.0,2006-07-09T14:25:57Z,0.01
8182826,90926718,Stub,0.1,6.19,2.0,246753.0,2006-11-29T16:33:28Z,0.62
5264575,99165271,Stub,0.1,4.05,3.0,433328.0,2007-01-07T20:40:08Z,0.4
9246397,105075760,Stub,0.1,1.15,11.0,664771.0,2007-02-02T12:19:13Z,0.12
12972088,156773117,Stub,0.1,0.54,3.0,376297.0,2007-09-09T20:21:47Z,0.05
9392919,156913792,Stub,0.1,0.14,7.0,4694792.0,2007-09-10T12:51:14Z,0.01
14172941,170942568,Stub,0.1,0.86,3.0,512560.0,2007-11-12T11:16:07Z,0.09
11742099,201639954,Stub,0.1,0.88,11.0,3035831.0,2008-03-28T19:04:53Z,0.09
10414391,215654826,Stub,0.1,3.44,2.0,5620751.0,2008-05-29T03:20:35Z,0.34
7252050,216575336,Stub,0.1,5.37,3.0,1368779.0,2008-06-02T07:35:49Z,0.54
24452970,315818120,Stub,0.1,7.85,1.0,2777171.0,2009-09-24T00:44:06Z,0.78
7772380,421978487,Start,0.28,5.84,3.0,14195798.0,2011-04-02T13:53:33Z,1.64
37804328,525911078,Stub,0.1,8.89,2.0,3187858.0,2012-12-01T20:07:28Z,0.89
44153112,630231592,Stub,0.1,5.86,3.0,4919722.0,2014-10-19T12:50:06Z,0.59
3053342,70638903,Stub,0.1,1.19,3.0,1978738.0,2006-08-19T20:17:07Z,0.12
4517071,94074215,Stub,0.1,2.55,11.0,2854709.0,2006-12-13T16:10:31Z,0.26
1735158,121445694,Stub,0.1,38.87,2.0,238113.0,2007-04-09T16:05:36Z,3.89
5547534,128193031,Stub,0.1,2.9,5.0,516097.0,2007-05-04T12:33:57Z,0.29
12607627,149357832,Stub,0.1,0.78,6.0,2618808.0,2007-08-05T15:37:08Z,0.08
3479210,240842817,Stub,0.1,12.63,1.0,1951636.0,2008-09-25T06:36:57Z,1.26
22393744,305627477,Stub,0.1,12.72,3.0,8776305.0,2009-08-02T13:09:53Z,1.27
25562203,334747494,Stub,0.1,1.47,8.0,928626.0,2009-12-29T16:49:51Z,0.15
33813749,461635159,Stub,0.1,0.33,7.0,883252.0,2011-11-20T18:54:47Z,0.03
36122863,497558556,Stub,0.1,6.59,1.0,1028844.0,2012-06-14T14:47:48Z,0.66
26733390,545887641,Stub,0.1,1.25,5.0,6569922.0,2013-03-21T05:16:53Z,0.12
41305047,585118122,C,0.46,60.8,6.0,20147944.0,2013-12-08T12:34:24Z,27.97
44222631,631288505,Stub,0.1,3.21,6.0,395052.0,2014-10-27T06:09:07Z,0.32
3110523,48502011,Stub,0.1,0.42,4.0,1256955.0,2006-04-15T01:04:31Z,0.04
1547959,53638438,Stub,0.1,2.32,6.0,147115.0,2006-05-17T05:24:05Z,0.23
3260668,90821630,Stub,0.1,0.34,1.0,433328.0,2006-11-29T03:06:29Z,0.03
1166376,94546034,Stub,0.1,0.12,3.0,306178.0,2006-12-15T18:05:38Z,0.01
9704961,110760973,Stub,0.1,0.04,7.0,710894.0,2007-02-25T05:13:54Z,0.0
6501421,125585474,Stub,0.1,5.87,4.0,433328.0,2007-04-24T18:31:49Z,0.59
3167473,134156872,Stub,0.1,0.29,1.0,4130853.0,2007-05-28T20:41:03Z,0.03
11705534,137369128,Stub,0.1,0.34,14.0,724413.0,2007-06-11T02:17:21Z,0.03
3203215,151652598,Stub,0.1,0.23,5.0,185034.0,2007-08-16T18:29:56Z,0.02
18287622,243420104,Stub,0.1,6.28,9.0,1979668.0,2008-10-06T13:08:24Z,0.63
4710551,384542650,Stub,0.1,1.77,3.0,8012436.0,2010-09-13T07:56:49Z,0.18
32294207,437645805,Stub,0.1,21.44,6.0,9753045.0,2011-07-04T02:44:45Z,2.14
32918051,462658975,Stub,0.1,23.58,4.0,5242015.0,2011-11-27T01:09:31Z,2.36
33197320,484283756,Stub,0.1,13.18,4.0,14216826.0,2012-03-28T01:27:42Z,1.32
6223894,573506810,Stub,0.1,7.91,12.0,1591.0,2013-09-18T14:57:24Z,0.79
41180281,583126781,Stub,0.1,19.59,3.0,11096.0,2013-11-24T18:59:56Z,1.96
43283672,616943128,Stub,0.1,18.54,3.0,17300358.0,2014-07-14T18:15:33Z,1.85
43987888,627676126,Stub,0.1,40.35,3.0,12529706.0,2014-09-30T13:14:45Z,4.04
1533556,23751187,Stub,0.1,0.39,2.0,160367.0,2005-09-22T13:33:23Z,0.04
1590197,23751854,Stub,0.1,0.32,1.0,160367.0,2005-09-22T13:44:22Z,0.03
7111543,77232138,Stub,0.1,13.37,5.0,552888.0,2006-09-22T20:14:50Z,1.34
5303784,89835174,Stub,0.1,3.68,5.0,389283.0,2006-11-24T15:17:12Z,0.37
6358852,91693501,Stub,0.1,3.87,4.0,228773.0,2006-12-03T01:03:50Z,0.39
554544,97765208,Stub,0.1,0.32,15.0,1979668.0,2007-01-01T18:43:25Z,0.03
9405678,106845447,Stub,0.1,0.63,4.0,2025742.0,2007-02-09T15:15:24Z,0.06
2822902,113118781,Stub,0.1,0.49,5.0,879260.0,2007-03-06T18:56:15Z,0.05
6660040,113651040,Stub,0.1,0.03,2.0,3467218.0,2007-03-08T20:12:27Z,0.0
11204486,130541013,Stub,0.1,0.2,8.0,1616157.0,2007-05-13T14:17:12Z,0.02
11298080,131898676,Stub,0.1,0.27,4.0,246943.0,2007-05-19T00:08:54Z,0.03
12006062,142420846,Stub,0.1,0.42,2.0,2618808.0,2007-07-04T08:29:29Z,0.04
15689386,198919307,Stub,0.1,0.77,4.0,1324179.0,2008-03-17T19:13:54Z,0.08
16637326,201914710,Stub,0.1,10.7,3.0,107928.0,2008-03-29T23:01:00Z,1.07
15602761,215858477,Stub,0.1,0.55,14.0,6085301.0,2008-05-30T00:32:55Z,0.06
22412313,283871728,Stub,0.1,12.33,1.0,23407.0,2009-04-14T21:57:21Z,1.23
15875865,305537107,Stub,0.1,0.81,2.0,6661051.0,2009-08-01T23:00:53Z,0.08
32918005,450533591,Stub,0.1,10.75,5.0,4773966.0,2011-09-14T21:03:55Z,1.08
39002392,548515074,Stub,0.1,7.26,0.0,363486.0,2013-04-03T17:13:44Z,0.73
42341238,601781598,Stub,0.1,20.56,6.0,727505.0,2014-03-29T09:20:41Z,2.06
2605056,26162291,Stub,0.1,2.59,15.0,347371.0,2005-10-22T05:28:03Z,0.26
6789961,78950615,Stub,0.1,1.39,1.0,1324179.0,2006-10-01T22:31:19Z,0.14
8746861,109241729,Stub,0.1,0.09,3.0,355698.0,2007-02-19T05:34:48Z,0.01
1967209,117528929,Stub,0.1,10.95,1.0,2057630.0,2007-03-24T14:57:44Z,1.1
1341142,121616010,Stub,0.1,0.16,0.0,111996.0,2007-04-10T05:49:11Z,0.02
17513824,213569402,Stub,0.1,0.42,2.0,2375381.0,2008-05-19T22:18:39Z,0.04
10787636,219331130,Stub,0.1,0.56,1.0,1536919.0,2008-06-14T18:42:19Z,0.06
16964611,222622536,Stub,0.1,0.32,10.0,114828.0,2008-06-30T09:01:38Z,0.03
21528193,271016476,Stub,0.1,29.9,1.0,76.0,2009-02-16T01:41:43Z,2.99
26578994,350307656,Stub,0.1,9.22,1.0,9315872.0,2010-03-17T00:19:40Z,0.92
6366783,359934220,Stub,0.1,2.01,13.0,246245.0,2010-05-03T21:56:16Z,0.2
25619858,416437228,Stub,0.1,2.15,0.0,759211.0,2011-02-28T21:00:59Z,0.22
32030583,433396691,Stub,0.1,15.81,3.0,1616157.0,2011-06-09T15:16:39Z,1.58
32624373,442966780,Stub,0.1,6.41,1.0,264323.0,2011-08-04T05:43:02Z,0.64
8882206,472909695,Start,0.28,0.12,4.0,24902.0,2012-01-24T02:14:42Z,0.03
6815108,485097980,Stub,0.1,10.84,5.0,508734.0,2012-04-02T03:28:04Z,1.08
36229108,499010175,Stub,0.1,3.07,3.0,5808430.0,2012-06-23T17:13:41Z,0.31
37242477,516292919,Stub,0.1,39.43,3.0,12529706.0,2012-10-06T10:48:35Z,3.94
157392,42301713,Stub,0.1,1.22,7.0,147115.0,2006-03-05T05:41:06Z,0.12
7695922,84712782,Stub,0.1,6.16,0.0,97232.0,2006-10-30T22:34:09Z,0.62
1961063,87558672,Stub,0.1,1.97,4.0,510132.0,2006-11-13T16:25:29Z,0.2
336350,91849629,Stub,0.1,3.64,0.0,433328.0,2006-12-03T20:43:49Z,0.36
2291616,91937946,Stub,0.1,5.14,21.0,677153.0,2006-12-04T05:09:05Z,0.51
1087240,97933769,Stub,0.1,1.26,2.0,1979668.0,2007-01-02T13:01:38Z,0.13
4171414,106624990,Stub,0.1,4.33,9.0,1215485.0,2007-02-08T18:06:20Z,0.43
9923996,113611120,Stub,0.1,11.25,3.0,3774185.0,2007-03-08T17:21:16Z,1.12
13035261,180373920,Stub,0.1,4.08,9.0,446579.0,2007-12-27T05:08:59Z,0.41
14538674,206897180,Stub,0.1,2.94,7.0,4205870.0,2008-04-20T15:32:03Z,0.29
1050900,239908703,Start,0.28,2.18,18.0,6552142.0,2008-09-21T01:48:51Z,0.61
22474624,284748626,Stub,0.1,8.31,3.0,511814.0,2009-04-19T04:33:34Z,0.83
23574632,302250916,Stub,0.1,5.52,6.0,1979668.0,2009-07-15T17:03:04Z,0.55
6156441,332189883,Stub,0.1,2.83,9.0,433328.0,2009-12-17T02:57:46Z,0.28
20173854,340132094,Stub,0.1,1.38,0.0,131372.0,2010-01-26T13:57:01Z,0.14
26950012,355905859,Stub,0.1,3.03,5.0,4649642.0,2010-04-14T05:07:31Z,0.3
28466582,380319754,C,0.46,11.92,2.0,935746.0,2010-08-22T13:45:01Z,5.48
33877489,462653725,Stub,0.1,0.71,7.0,342538.0,2011-11-27T00:31:15Z,0.07
36799310,508816679,Stub,0.1,17.02,5.0,12529706.0,2012-08-23T18:32:53Z,1.7
36822475,509260039,Stub,0.1,19.7,4.0,12529706.0,2012-08-26T15:21:33Z,1.97
39551144,565079885,Stub,0.1,0.81,0.0,8629244.0,2013-07-20T17:46:43Z,0.08
40532555,572942419,Stub,0.1,36.7,3.0,12529706.0,2013-09-14T22:13:10Z,3.67
40920984,579256849,Stub,0.1,13.8,4.0,14730724.0,2013-10-29T10:25:01Z,1.38
3548057,32992327,Stub,0.1,1.91,4.0,294325.0,2005-12-28T13:00:42Z,0.19
2769917,65596366,Stub,0.1,1.1,7.0,527862.0,2006-07-24T18:21:13Z,0.11
1290418,72974184,Stub,0.1,2.86,1.0,2122595.0,2006-08-31T05:52:22Z,0.29
8612245,96525240,Stub,0.1,1.06,7.0,1274147.0,2006-12-26T08:32:02Z,0.11
5192920,102674458,Stub,0.1,4.14,0.0,1124563.0,2007-01-23T15:11:02Z,0.41
8586365,112208170,Stub,0.1,4.7,8.0,1266298.0,2007-03-03T00:37:26Z,0.47
8892543,114040726,Stub,0.1,0.08,5.0,727505.0,2007-03-10T10:51:42Z,0.01
11798540,138549853,Stub,0.1,2.57,4.0,4554424.0,2007-06-16T13:11:41Z,0.26
1532595,141430369,Stub,0.1,0.73,3.0,2379776.0,2007-06-29T17:34:36Z,0.07
3296118,149022228,Stub,0.1,0.64,7.0,1478289.0,2007-08-03T22:34:10Z,0.06
14358748,173277986,Stub,0.1,0.78,5.0,1616157.0,2007-11-23T13:28:44Z,0.08
14159313,197067636,Stub,0.1,0.8,11.0,185410.0,2008-03-09T20:13:01Z,0.08
22372779,298530706,Stub,0.1,0.09,7.0,1951353.0,2009-06-25T09:43:52Z,0.01
24958649,323871006,Stub,0.1,32.92,10.0,3211564.0,2009-11-04T10:31:46Z,3.29
22226890,325658651,Stub,0.1,6.51,1.0,11011153.0,2009-11-13T18:19:58Z,0.65
25450867,331940216,Stub,0.1,3.7,8.0,10494514.0,2009-12-16T02:51:55Z,0.37
18918845,335014555,Stub,0.1,5.49,3.0,117878.0,2009-12-31T00:52:25Z,0.55
25771711,337267565,Stub,0.1,6.28,7.0,4649642.0,2010-01-11T22:21:22Z,0.63
28884905,385824787,Stub,0.1,14.76,2.0,82835.0,2010-09-20T00:45:19Z,1.48
25566370,386060418,Stub,0.1,7.0,4.0,82835.0,2010-09-21T07:09:33Z,0.7
39073126,549709882,Stub,0.1,38.99,2.0,12529706.0,2013-04-10T17:04:16Z,3.9
39557530,558727368,Stub,0.1,1.16,2.0,9527245.0,2013-06-07T08:17:42Z,0.12
39802655,561979787,Stub,0.1,13.71,1.0,375843.0,2013-06-28T15:34:58Z,1.37
40181144,567585995,Stub,0.1,29.34,4.0,12529706.0,2013-08-07T20:05:16Z,2.93
40532740,572944077,Stub,0.1,43.88,4.0,12529706.0,2013-09-14T22:29:27Z,4.39
41740686,592330359,Stub,0.1,7.98,5.0,75561.0,2014-01-25T14:45:52Z,0.8
43964700,627308046,Stub,0.1,50.57,4.0,12529706.0,2014-09-27T18:32:36Z,5.06
3069251,65324354,Stub,0.1,0.02,11.0,1814403.0,2006-07-23T04:43:27Z,0.0
3246772,91771618,Stub,0.1,0.58,6.0,433328.0,2006-12-03T11:37:45Z,0.06
6210210,110675959,Stub,0.1,5.02,1.0,1979668.0,2007-02-24T22:10:43Z,0.5
6107994,118498001,Stub,0.1,3.37,0.0,2005806.0,2007-03-28T12:23:27Z,0.34
11318282,135754179,Stub,0.1,0.44,7.0,96257.0,2007-06-04T09:22:00Z,0.04
10585226,137070583,Stub,0.1,1.19,10.0,433328.0,2007-06-09T17:08:47Z,0.12
11172765,141712374,Stub,0.1,0.42,4.0,327589.0,2007-07-01T01:29:54Z,0.04
4180226,143927984,Stub,0.1,0.05,7.0,4147969.0,2007-07-11T09:05:42Z,0.01
12361504,146098851,Stub,0.1,0.23,3.0,1276024.0,2007-07-21T10:07:29Z,0.02
11170044,150667246,Stub,0.1,0.52,7.0,335094.0,2007-08-11T23:24:49Z,0.05
12887065,152886352,Stub,0.1,0.72,1.0,511814.0,2007-08-22T09:39:21Z,0.07
13261037,158765209,Stub,0.1,0.31,3.0,596812.0,2007-09-18T17:22:12Z,0.03
9582851,233131012,Start,0.28,1.99,23.0,427947.0,2008-08-20T15:43:22Z,0.56
19773195,245205831,Stub,0.1,10.19,2.0,1616157.0,2008-10-14T12:12:39Z,1.02
20650792,257367230,Stub,0.1,5.07,0.0,246943.0,2008-12-11T22:43:05Z,0.51
23996252,308179307,Stub,0.1,1.93,4.0,4649642.0,2009-08-15T20:11:58Z,0.19
24413770,318720580,Stub,0.1,5.54,1.0,426156.0,2009-10-08T19:58:48Z,0.55
29203231,390870505,Stub,0.1,22.81,0.0,11612968.0,2010-10-15T12:39:15Z,2.28
32101562,459420442,Stub,0.1,9.29,11.0,4770293.0,2011-11-07T07:18:17Z,0.93
27994056,463371927,Stub,0.1,1.26,1.0,271376.0,2011-11-30T22:37:50Z,0.13
4671190,555045042,Stub,0.1,1.91,2.0,16460235.0,2013-05-14T12:28:10Z,0.19
43762265,624507119,Stub,0.1,47.79,5.0,363486.0,2014-09-07T06:30:33Z,4.78
5504166,65016997,Stub,0.1,0.36,5.0,1831311.0,2006-07-21T12:33:00Z,0.04
4491403,68566881,Start,0.28,0.6,1.0,125919.0,2006-08-09T07:50:59Z,0.17
2318646,74298919,Stub,0.1,5.06,4.0,358471.0,2006-09-07T08:39:36Z,0.51
6995579,75779871,Stub,0.1,1.08,1.0,344384.0,2006-09-14T22:30:41Z,0.11
7674475,84453296,Stub,0.1,6.76,4.0,1394283.0,2006-10-29T17:57:40Z,0.68
9674265,110399121,Stub,0.1,0.25,3.0,2235852.0,2007-02-23T19:36:31Z,0.02
11171998,141529522,Stub,0.1,0.37,4.0,88149.0,2007-06-30T02:59:45Z,0.04
13094393,155656915,Stub,0.1,1.3,4.0,4781263.0,2007-09-04T16:48:12Z,0.13
7845388,169149337,Stub,0.1,2.61,6.0,433328.0,2007-11-04T13:33:34Z,0.26
11778405,205284821,Stub,0.1,0.84,22.0,1554195.0,2008-04-13T07:13:57Z,0.08
14983958,215315876,Stub,0.1,2.18,9.0,107928.0,2008-05-27T17:41:58Z,0.22
18217977,222787250,Start,0.28,5.48,7.0,1187538.0,2008-07-01T03:01:02Z,1.53
2293376,224126631,Stub,0.1,5.24,12.0,7218328.0,2008-07-07T12:52:23Z,0.52
20835502,260005079,Stub,0.1,1.04,0.0,713860.0,2008-12-25T04:01:29Z,0.1
22055435,278436052,Stub,0.1,23.46,2.0,5794619.0,2009-03-19T23:59:05Z,2.35
4423412,324628073,Stub,0.1,6.07,11.0,3808.0,2009-11-08T11:15:16Z,0.61
22316142,333430810,Stub,0.1,3.7,13.0,433328.0,2009-12-23T01:53:01Z,0.37
18014965,334056918,Stub,0.1,5.76,6.0,1399437.0,2009-12-26T05:42:01Z,0.58
24112003,375187857,Stub,0.1,1.1,9.0,7328338.0,2010-07-24T09:40:53Z,0.11
28722860,383194053,Stub,0.1,32.55,2.0,1370770.0,2010-09-06T05:13:27Z,3.26
33276263,453759748,Stub,0.1,6.69,4.0,161142.0,2011-10-03T20:02:22Z,0.67
32411783,464446976,Stub,0.1,9.73,8.0,11969601.0,2011-12-06T20:36:58Z,0.97
34398882,471702416,Stub,0.1,16.71,0.0,4683430.0,2012-01-16T16:48:20Z,1.67
37366973,518895948,Stub,0.1,5.13,2.0,1005449.0,2012-10-20T17:12:16Z,0.51
43002260,612122185,Stub,0.1,33.19,9.0,11096.0,2014-06-08T20:18:30Z,3.32
43692396,623463000,Stub,0.1,0.6,0.0,19224014.0,2014-08-30T16:23:45Z,0.06
43979661,627555981,Stub,0.1,8.55,5.0,12529706.0,2014-09-29T15:43:04Z,0.86
1239249,64392153,Stub,0.1,0.17,2.0,158443.0,2006-07-18T01:59:52Z,0.02
6831514,73974651,Stub,0.1,0.26,2.0,26201.0,2006-09-05T16:58:46Z,0.03
3442575,75018969,Stub,0.1,1.96,11.0,693847.0,2006-09-11T01:55:46Z,0.2
961297,91849676,Stub,0.1,1.23,9.0,120964.0,2006-12-03T20:44:01Z,0.12
4532123,98217259,Stub,0.1,9.73,17.0,677153.0,2007-01-03T17:58:57Z,0.97
7480196,101502603,Stub,0.1,0.05,5.0,60676.0,2007-01-18T05:25:50Z,0.01
8673961,102794440,Stub,0.1,0.08,5.0,1392310.0,2007-01-24T00:31:45Z,0.01
4843765,108289064,Stub,0.1,13.54,1.0,378390.0,2007-02-15T08:57:35Z,1.35
5665107,111738984,Stub,0.1,1.16,4.0,889409.0,2007-03-01T02:51:00Z,0.12
4997324,117359116,Stub,0.1,1.07,2.0,1008048.0,2007-03-23T20:02:58Z,0.11
8536715,146594257,Stub,0.1,0.6,1.0,196153.0,2007-07-23T19:43:04Z,0.06
11304192,175291383,Stub,0.1,1.81,7.0,5887433.0,2007-12-02T17:15:58Z,0.18
14655482,186600681,Stub,0.1,6.03,2.0,1803593.0,2008-01-24T15:29:49Z,0.6
4655479,189234582,Stub,0.1,3.71,6.0,840224.0,2008-02-05T10:54:33Z,0.37
15690178,190450950,Start,0.28,2.99,13.0,2031364.0,2008-02-10T20:20:38Z,0.84
18571931,227688026,Stub,0.1,1.89,7.0,7517809.0,2008-07-24T19:42:14Z,0.19
19293455,239405885,Stub,0.1,2.94,5.0,536375.0,2008-09-18T23:46:38Z,0.29
21748864,312040812,Stub,0.1,7.58,3.0,533049.0,2009-09-05T17:44:13Z,0.76
24509443,316809075,Stub,0.1,10.51,4.0,7009303.0,2009-09-29T02:12:46Z,1.05
24533445,317199725,Stub,0.1,17.98,4.0,7009303.0,2009-10-01T01:30:04Z,1.8
29732820,398624995,Stub,0.1,5.66,7.0,1616157.0,2010-11-24T13:04:07Z,0.57
29719317,398842263,Stub,0.1,7.85,3.0,8596147.0,2010-11-25T18:33:04Z,0.78
28308367,412805320,Stub,0.1,4.7,2.0,1951353.0,2011-02-08T22:49:09Z,0.47
33022663,449145243,C,0.46,13.51,3.0,8780467.0,2011-09-08T14:48:37Z,6.21
30221030,546081682,Stub,0.1,0.62,2.0,6569922.0,2013-03-21T21:00:56Z,0.06
39434835,555918543,Stub,0.1,24.94,0.0,2658500.0,2013-05-20T09:06:37Z,2.49
41578750,589667432,Stub,0.1,22.51,2.0,11096.0,2014-01-07T21:59:15Z,2.25
44537829,635812448,Stub,0.1,9.2,5.0,6127189.0,2014-11-28T20:55:32Z,0.92
33797985,639176478,Stub,0.1,1.64,7.0,186116.0,2014-12-22T11:53:50Z,0.16
986791,82999758,Stub,0.1,0.03,4.0,470844.0,2006-10-22T13:49:26Z,0.0
658789,97857122,Stub,0.1,1.53,9.0,1979668.0,2007-01-02T02:47:07Z,0.15
11517112,134759916,Stub,0.1,2.71,3.0,1337739.0,2007-05-31T07:29:58Z,0.27
2478048,184068516,Stub,0.1,1.04,4.0,1952032.0,2008-01-13T17:17:24Z,0.1
17146170,208580526,Stub,0.1,0.43,3.0,41228.0,2008-04-27T19:00:19Z,0.04
16831456,216438198,Stub,0.1,4.37,5.0,6085301.0,2008-06-01T17:37:18Z,0.44
18862090,235778902,Stub,0.1,6.17,2.0,75561.0,2008-09-02T09:25:10Z,0.62
21898674,276364601,Stub,0.1,12.92,2.0,4456044.0,2009-03-10T21:15:40Z,1.29
16335341,297760329,Stub,0.1,1.75,10.0,1276024.0,2009-06-21T17:40:48Z,0.18
24008381,308513916,Stub,0.1,15.76,2.0,9629838.0,2009-08-17T17:34:05Z,1.58
20145735,311541661,Stub,0.1,5.73,7.0,433328.0,2009-09-02T21:12:07Z,0.57
25212506,328673325,Stub,0.1,8.54,17.0,1979668.0,2009-11-29T22:23:33Z,0.85
26860840,354931832,Stub,0.1,1.77,4.0,5663757.0,2010-04-09T12:07:45Z,0.18
27759621,393667075,Stub,0.1,2.3,1.0,1918920.0,2010-10-29T20:06:18Z,0.23
33141557,454607464,Stub,0.1,15.7,5.0,1979668.0,2011-10-08T21:09:44Z,1.57
30169882,476278172,Stub,0.1,2.16,17.0,11292982.0,2012-02-11T13:54:21Z,0.22
27023425,481399750,Stub,0.1,2.34,8.0,14216826.0,2012-03-11T21:52:29Z,0.23
20707828,483853687,Stub,0.1,2.66,8.0,14951201.0,2012-03-25T14:57:07Z,0.27
29140404,498523000,Stub,0.1,7.75,10.0,2126435.0,2012-06-20T17:02:36Z,0.78
36661866,506377614,Stub,0.1,1.3,2.0,1368779.0,2012-08-08T11:29:53Z,0.13
33940147,542940524,Stub,0.1,4.98,19.0,15996738.0,2013-03-09T00:49:01Z,0.5
41367675,586112340,Stub,0.1,7.9,5.0,1399437.0,2013-12-14T23:36:57Z,0.79
42094127,602076690,Stub,0.1,4.91,0.0,33566.0,2014-03-31T07:37:38Z,0.49
2905929,63249738,Stub,0.1,10.22,3.0,519214.0,2006-07-11T16:43:47Z,1.02
5956433,66565580,Stub,0.1,0.35,11.0,1571476.0,2006-07-29T19:34:00Z,0.03
2348640,75492796,Stub,0.1,13.3,5.0,154626.0,2006-09-13T12:29:59Z,1.33
4567404,84900973,Stub,0.1,13.38,4.0,246568.0,2006-10-31T20:31:24Z,1.34
8854883,99781942,Stub,0.1,10.97,6.0,142887.0,2007-01-10T16:13:12Z,1.1
2218222,101540815,Stub,0.1,1.02,13.0,1991207.0,2007-01-18T11:58:02Z,0.1
30863602,108436314,Stub,0.1,0.15,9.0,2407026.0,2007-02-15T21:47:38Z,0.02
7491390,110816725,Stub,0.1,1.06,2.0,179697.0,2007-02-25T12:36:43Z,0.11
6651998,113704676,Stub,0.1,0.45,1.0,404116.0,2007-03-08T23:59:47Z,0.05
2164106,122148791,Stub,0.1,3.62,13.0,433328.0,2007-04-12T05:04:47Z,0.36
